C_No.,Review Text,Star Rating,Polarity Scores
925,nice,5,Satisfied
926,"I think the app is improved very much now . The apps takes no handling fee or delivery fee , over orders of ₹99. And 1 special thing that , prices are low compared to the product's M. R. P.",5,Satisfied
927,not working...Niether login works nor app works in guest mode.,1,Neutral
928,app has shown option of 3 days exchange but customer care is denying... bad customer service and fraudulent listing of products,1,Extremely Dissatisfied
929,surat me katargam to h nhi,1,Neutral
930,verry good service & cammon oder option & Fast delivery Big discount pr oder,4,Satisfied
931,nice app. very useful. very fast service. thanks,5,Extremely Satisfied
932,"As per my requirements I think it's better than others in every expectation. Thanks Zepto. Today (6-dec-25) I am very much disappointed to see that your app is not working, tried many times but only one msg pops Ooh something went wrong.",4,Dissatisfied
933,Doing cheeting with costomer giving extra charges,1,Neutral
934,very late and Bad Delivery..,4,Dissatisfied
935,Darbhanga-846004 (Bihar) me kab aaoge..?,5,Neutral
936,Prices are high even in malls it's lower making us fool saying that here are the lowest prices I'd prefer going to mall and buy items,1,Extremely Dissatisfied
937,بہتر ہے ماشاءاللہ مناسب وقت پر مناسب قیمت پر مطلوبہ اشیاء گھر بیٹھے مل جاتے ہیں,5,Neutral
938,"good job,👍🤩",5,Satisfied
939,10 item order krne par bhi bag nhii dete kese pakad ke leke jaye,1,Neutral
940,good Taste,5,Satisfied
941,wonderful service Exact time delivery must buy from zepto 🍝,5,Satisfied
942,Saviour of the last moment needs.,5,Neutral
943,good,5,Satisfied
944,very nice fast delivery good,5,Satisfied
945,over all good. and recommend to all,5,Satisfied
946,very nice,5,Satisfied
947,"worst experience, don't install this app & the main bigger thing is customer support worst, I was supposed to buy one product in zepto, i got a fake product and I complained to the zepto they didn't take any action, instead of rude behaviour my kindly request is that it doesn't install this app worst zepto worst zepto worst zepto",1,Extremely Dissatisfied
948,best,5,Satisfied
949,no detect the location,1,Dissatisfied
950,Good no hidden cost. And very quick delivery.,5,Neutral
951,ekdam kharab hai costmer support order bhi nhi dete thik se 1 ghanta hone ke bad khud order cancel karte hai or paise bhi jaldi refund nhi dete ekdam kharb experience,1,Dissatisfied
952,super 😊,5,Extremely Satisfied
953,very good 😊,5,Extremely Satisfied
954,👍😊,5,Satisfied
955,Most third class app,1,Neutral
956,dispointed zepto,1,Neutral
957,bring back zepto cafe,5,Neutral
958,good,5,Satisfied
959,"This is a scam. Money deducted but zepto says they did not receive it. says to wait 7 days, like I am going to remember after 7 days to check all my transactions.",1,Neutral
960,fast delivery and good quality,4,Satisfied
961,very good keep it malkajgiri zepto thank q 💯👌😇🤝,5,Extremely Satisfied
962,very nice app,5,Satisfied
963,good h,4,Satisfied
964,Good.,5,Satisfied
965,👍👍,5,Neutral
966,unbelievable Super Store Zepto,5,Satisfied
967,very Fast,5,Neutral
968,excellent service good behavior of delivery associate.,5,Extremely Satisfied
969,"I had ordered using my Sodexo pluxee card, the zepto store is literally 250m from my house, they won't deliver my item at all.. It has happened twice now in a span of a week, once I cancel my order the money is not returned too... my thousand rupees are stuck for 5 days now... I am never using zepto again.. and the worst part is there is no customer support... it is the worst .. hope ur IPO crashes by 90%",1,Extremely Dissatisfied
970,very bad app not working app,1,Dissatisfied
971,pathetic experience. the 10 min delivery promise is just a sham. horrible assistance. blinkit is far better. I placed same orders on both apps at the same time. blinkit delivered within 10 mins while zepto is still packing the order after 30 mins,1,Dissatisfied
972,good,5,Satisfied
973,good👍,5,Satisfied
974,nice,5,Satisfied
975,unable to refer my friend. no option coming,1,Satisfied
976,good,5,Satisfied
977,fast delivery 🚚 hai nice work good product,5,Satisfied
978,super,5,Satisfied
979,I order one pack of kinderjoy it took 1 hour and above to delivery. very worst it's not the first time they delivery late.,1,Dissatisfied
980,It's too fast and Responsive,5,Satisfied
981,not good,3,Dissatisfied
982,Very good,5,Satisfied
983,good 👍,5,Satisfied
984,worst app out of all the grocery delivery apps the payment always fails and then need 5-7 days to get refunded and some times doesnt even refund would rather pay extra on other apps than to trust this garbage again,1,Dissatisfied
985,very bad app it's not give any coupon in food it is also very bad very bad very bad,1,Extremely Dissatisfied
986,Good service and fast service,5,Satisfied
987,nice 👍,5,Satisfied
988,Very Bad cheated us giving duplicate Nandhini ghee and bill was not given for any order and some of the order items where missing in the parcel order best buying nearby,1,Dissatisfied
989,I am order please 1:45pm but till 2:30pm order not delivered uske bad bolate Hain order cancel kar do Ham aapka order delivery nahin kar payenge customer ka pagal Bana Rakha Hai rajlaxmi senior manager order cancel karne ke liye bolte hain totally disappoint next time se use nahin hoga zepto,1,Dissatisfied
990,"I want to lodge a complaint on Zepto. I placed an order but the person reached the wrong place. When delivering the order the person went to Malad instead of Jogeshwari even though I had provided the correct Jogeshwari address during ordering. I received a call from customer care, and they said Ma'am we won't be able to deliver your order, please cancel it. I agreed but I requested a refund. They said it would take 5 to 7 days and asked me to wait. However the person cut the call .",1,Neutral
991,you can't talk to their support person in any case my money debited twice for a single order and I am unable to find a person to talk about it. and they have no other option to register these complaints.,1,Dissatisfied
992,good serviec,4,Satisfied
993,so many times card is unavailable in Chennai,3,Neutral
994,very nice 👍,5,Satisfied
995,good,5,Satisfied
996,Good 👍,5,Satisfied
997,Good Delivery Response,4,Satisfied
998,not on time,1,Neutral
999,i have not get refund money till now,1,Neutral
1000,very well behaved and polite delivery by kugan. an asset to the company,5,Satisfied
,,3.73,
